date,rating,review_text,sentiment,keywords,channel,order_id
2025-10-28,5,"Absolutely amazing burgers! Best I've had in NYC. The Classic Burger was perfectly cooked and juicy.",positive,"amazing,best,perfect",ubereats,ORD001
2025-10-28,4,"Good food, quick service. Fries were crispy and hot.",positive,"good,quick,crispy",in_person,ORD002
2025-10-28,5,"Buffalo wings are incredible! Perfect amount of sauce. Will order again.",positive,"incredible,perfect",doordash,ORD003
2025-10-28,3,"Food was okay but delivery took forever. 35 minutes instead of promised 25.",neutral,"okay,slow delivery",ubereats,ORD005
2025-10-28,5,"The Veggie Power Bowl is so fresh and healthy! Love the variety of vegetables.",positive,"fresh,healthy,love",pickup,ORD008
2025-10-28,2,"Burger was cold when it arrived. Disappointed with the temperature.",negative,"cold,disappointed",doordash,ORD016
2025-10-28,5,"Excellent combo meal! Great value for the price. Portions are generous.",positive,"excellent,value,generous",in_person,ORD024
2025-10-28,4,"Spicy chicken sandwich has the perfect kick. Not too spicy, just right.",positive,"perfect,right amount",pickup,ORD025
2025-10-28,5,"Best buffalo wings in the area! Sauce is perfectly balanced.",positive,"best,perfect,balanced",ubereats,ORD030
2025-10-29,4,"Really good burgers. The bun was fresh and the toppings were quality.",positive,"good,fresh,quality",in_person,ORD035
2025-10-29,5,"Love this place! Quick service and always consistent quality.",positive,"love,quick,consistent",pickup,ORD036
2025-10-29,3,"Fries were a bit soggy today. Usually they're better.",neutral,"soggy,usually better",in_person,ORD040
2025-10-29,5,"Grilled Chicken Salad is massive and so good! Worth every penny.",positive,"massive,good,worth",doordash,ORD041
2025-10-29,4,"BBQ pulled pork sandwich is delicious. Meat is tender and flavorful.",positive,"delicious,tender,flavorful",ubereats,ORD044
2025-10-29,5,"Combo meal is the way to go! Everything was hot and fresh.",positive,"hot,fresh,perfect",in_person,ORD050
2025-10-29,2,"Order was missing the fries. Had to call to get a refund.",negative,"missing,refund",doordash,ORD048
2025-10-29,5,"Fish tacos are surprisingly amazing! Fresh ingredients and great seasoning.",positive,"amazing,fresh,great",in_person,ORD051
2025-10-29,4,"Good experience overall. Staff was friendly and helpful.",positive,"good,friendly,helpful",in_person,ORD053
2025-10-29,5,"Buffalo wings are addictive! Can't stop ordering them.",positive,"addictive,can't stop",ubereats,ORD054
2025-10-29,3,"Delivery was slow but food was good when it arrived.",neutral,"slow,good",doordash,ORD058
2025-10-30,5,"Best burger spot in Manhattan! Always fresh, always delicious.",positive,"best,fresh,delicious",in_person,ORD065
2025-10-30,4,"Spicy chicken sandwich lives up to the name. Great flavor!",positive,"great flavor,spicy",ubereats,ORD067
2025-10-30,5,"Veggie bowl is packed with flavor. So many fresh vegetables!",positive,"packed,fresh",in_person,ORD069
2025-10-30,4,"Wings are good but could use more sauce.",neutral,"good,needs more sauce",in_person,ORD070
2025-10-30,5,"Fish tacos are restaurant quality! Can't believe this is fast food.",positive,"quality,can't believe",pickup,ORD071
2025-10-30,3,"Burger was overcooked. Usually better.",neutral,"overcooked,usually better",in_person,ORD075
2025-10-30,5,"BBQ sandwich is phenomenal! Meat falls apart perfectly.",positive,"phenomenal,perfect",in_person,ORD076
2025-10-30,4,"Good portion sizes. Never leave hungry!",positive,"good,never hungry",pickup,ORD078
2025-10-30,5,"Wings are the best! Crispy outside, juicy inside.",positive,"best,crispy,juicy",doordash,ORD080
2025-10-30,2,"Package was torn and food was cold. Not acceptable.",negative,"torn,cold,not acceptable",ubereats,ORD083
2025-10-30,5,"Loaded nachos are incredible! So much cheese and toppings.",positive,"incredible,so much",in_person,ORD085
2025-10-30,4,"Salad is fresh and crisp. Dressing is delicious.",positive,"fresh,crisp,delicious",doordash,ORD086
2025-10-30,5,"Perfect every single time. My go-to lunch spot!",positive,"perfect,go-to",in_person,ORD087
2025-10-30,3,"Food is good but prices are a bit high.",neutral,"good,prices high",pickup,ORD090
2025-10-31,5,"Best combo meal deal in the city! Highly recommend.",positive,"best,recommend",in_person,ORD098
2025-10-31,4,"Wings are always consistent. Great quality.",positive,"consistent,quality",ubereats,ORD100
2025-10-31,5,"Love the variety on the menu. Something for everyone!",positive,"love,variety",doordash,ORD101
2025-10-31,4,"Veggie bowl is my healthy go-to. Always satisfying.",positive,"healthy,satisfying",in_person,ORD103
2025-10-31,5,"BBQ pork is melt-in-your-mouth tender. Amazing!",positive,"tender,amazing",pickup,ORD105
2025-10-31,2,"Waited 40 minutes for delivery. Food was cold.",negative,"waited,cold",doordash,ORD107
2025-10-31,5,"Grilled chicken salad is huge and delicious!",positive,"huge,delicious",ubereats,ORD109
2025-10-31,4,"Consistent quality. Never disappointed.",positive,"consistent,never disappointed",in_person,ORD110
2025-10-31,5,"Fish tacos have become my weekly treat. So good!",positive,"weekly,so good",doordash,ORD114
2025-10-31,3,"Burger was okay. Expected more for the price.",neutral,"okay,expected more",pickup,ORD117
